Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Токар,Варвара,Євгенівна,Жіноча,02-12-1950,Геолог,селище Кипуче,"парк Дубовий гай, буд. 154, Золоте, 47671",+380 28 273-75-78,solomiia64@example.org
Корж,Захар,Юрійович,Чоловіча,16-05-1994,Електротехнік,селище Іршава,"парк Лазурний 3-й, буд. 64 кв. 2, Амвросіївка, 04773",179-59-35,violetta49@example.org
Юрченко,Орхип,Тарасович,Чоловіча,24-05-1942,Географ,село Липовець,"проспект Пiвденний, буд. 7 кв. 9, Устилуг, 48096",007 549 13 61,zasukhastefan@example.net
Данильчук,Тереза,Євгенівна,Жіноча,20-09-1979,Конструктор,місто Заліщики,"площа Амундсена, 3-й, буд. 373 кв. 98, Борислав, 82214",+380 21 012 61 93,hordiibabii@example.com
Іваненко,Спас,Васильович,Чоловіча,04-01-1944,Флорист,село Угнів,"сквер Північна, буд. 270, Полтава, 50296",059 813 04 63,mykolaishtepa@example.org
Закусило,Лукʼян,Дмитрович,Чоловіча,07-01-1976,Лікар,село Селидове,"проспект Миколаївська дорога, буд. 6 кв. 87, Марганець, 26171",094 744-85-85,cbashtan@example.net
Литвин,Юхим,Володимирович,Чоловіча,16-11-1978,Електрик,хутір Зимогір'я,"сквер Шоста, буд. 314, Бориспіль, 15493",067 430 00 34,zasenkoanita@example.org
Бабійчук,Олесь,Романович,Чоловіча,02-04-1994,Паралегал,селище Мукачево,"сквер Житомирська, буд. 750 кв. 65, Борзна, 41136",+380 30 279 80 66,dzhusalbina@example.com
Литвин,Данило,Олександрович,Чоловіча,15-05-1968,Різноробочий,село Бершадь,"узвіз Біржова, буд. 785 кв. 766, Перемишляни, 77181",879 16 47,ievdokymenkonadiia@example.com
Фоменко,Хома,Іванович,Чоловіча,26-04-1983,Няня,селище Бар,"проспект Нафтовиків 2-й, буд. 0 кв. 462, Богуслав, 04436",680-02-05,larysa15@example.com
Артюх,Ярослава,Павлівна,Жіноча,22-03-1974,Фольклорист,селище Самар,"набережна Мусіна, буд. 81 кв. 28, Українськ, 63235",+380 (76) 835-58-79,alevtyn65@example.net
Базавлученко,Ігнат,Олександрович,Чоловіча,08-04-1951,Економіст,село Богуслав,"провулок Рішельєвська, буд. 1 кв. 00, Костянтинівка, 24065",+380 86 839-10-54,iustyna48@example.com
Щербань,Трохим,Павлович,Чоловіча,06-03-1999,Локсмайстер,селище Кодима,"набережна Пересипська 8-ма, буд. 6 кв. 89, Зеленодольськ, 39168",835 39 10,erika31@example.com
Забашта,Дмитро,Євгенович,Чоловіча,18-08-1970,Єгер,місто Пирятин,"узвіз Чорноморський, буд. 85, Скадовськ, 96124",207 10 87,kishchak@example.com
Демиденко,Тетяна,Степанівна,Жіноча,22-02-2001,Графік,селище Тячів,"набережна Вокзальна, буд. 21, Ладижин, 22409",+380 (44) 083-61-86,valentyn99@example.net
Конопля,Мілена,Романівна,Жіноча,03-11-1955,Паралегал,місто Дубно,"парк Амбулаторна, буд. 2 кв. 16, Березань, 80899",+380 11 056 83 89,demian17@example.com
Гоголь,Варвара,Олегівна,Жіноча,27-06-1952,Скульптор,хутір Новогродівка,"шосе Ніжинська, буд. 1 кв. 76, Синельникове, 71901",819-21-78,chumaktymofii@example.net
Бабич,Марта,Юріївна,Жіноча,17-02-1981,Флорист,село Федорівка,"сквер Посівна, буд. 98, Єнакієве, 07661",029 288 68 20,vovkostap@example.org
Баклан,Леонід,Романович,Чоловіча,28-11-1971,Антрополог,село Костянтинівка,"проспект Леха Качинського, буд. 7 кв. 5, Стрий, 20980",+380 08 670-54-53,demianakulenko@example.org
Перепелиця,Михайло,Сергійович,Чоловіча,08-11-1967,Ветеринар,село Обухів,"набережна Вільгельма Габсбурга, буд. 83, Болград, 30443",+380 07 085 20 45,komarviacheslav@example.com
Литвин,Аліна,Сергіївна,Жіноча,17-09-1944,Соціолог,хутір Ірміно,"сквер Хімічний 1-й, буд. 3 кв. 70, Новоазовськ, 23055",778-42-77,rtereshchuk@example.org
Коваленко,Богодар,Борисович,Чоловіча,04-01-1945,Електрик,селище Заставна,"проспект Бориса Едуардса, буд. 670, Вараш, 95224",+380 (70) 335-90-47,allahavryshkevych@example.net
Вдовенко,Демʼян,Петрович,Чоловіча,01-07-1995,Маркетолог,село Василівка,"вулиця Зої Бутенко, буд. 99, Сімферополь, 46766",+380 (99) 248-44-85,lesykpylyp@example.org
Конопля,Олег,Олегович,Чоловіча,30-07-1994,Мікробіолог,село Андрушівка,"набережна Елеваторна, буд. 2, Ананьїв, 14710",+380 85 785 14 19,volodymyraievtushok@example.net
Нестайко,Клавдія,Дмитрівна,Жіноча,20-12-1978,Каскадер,селище Ізюм,"площа Соляний 7-й, буд. 88 кв. 2, Южноукраїнськ, 51339",+380 48 272-86-30,klyment98@example.org
Зінкевич,Зорян,Степанович,Чоловіча,06-10-1996,Правник,місто Теребовля,"парк Учнівська, буд. 01 кв. 2, Костопіль, 29289",054 598 13 86,opustovit@example.com
Кибкало,Пантелеймон,Миколайович,Чоловіча,07-11-2005,Психолог,селище Костянтинівка,"сквер Обільний 1-й, буд. 97, Тернопіль, 37265",817-00-56,ivanieromenko@example.com
Бгиденко,Симон,Іванович,Чоловіча,16-05-1983,Математик,село Коростень,"шосе Генуезька, буд. 99 кв. 8, Сміла, 94713",+380 96 294-87-57,levko98@example.net
Щербак,Едуард,Іванович,Чоловіча,16-12-1994,Бізнесмен,хутір Городок,"проспект Буковецького, буд. 6 кв. 7, Нове Давидково, 89348",062 748 75 91,vadym71@example.net
Олійник,Ірина,Миколаївна,Жіноча,07-05-1965,Мікробіолог,хутір Яготин,"шосе Новосельского, буд. 91, Ніжин, 18557",026 255 05 89,alevtynpushkar@example.org
Гузій,Болеслав,Михайлович,Чоловіча,05-07-1987,Ветеринар,село Старий Самбір,"шосе Пересипська 6-та, буд. 668 кв. 078, Сміла, 45560",871 65 87,gdankiv@example.net
Джус,Марина,Миколаївна,Жіноча,10-05-1975,Водій,село Яремче,"провулок Маячний, буд. 61 кв. 52, Хутір-Михайлівський, 01131",031 444-69-53,iosyp73@example.com
Гавриленко,Охрім,Миколайович,Чоловіча,04-03-1951,Намотувальник,хутір Токмак,"площа Івасюка Володимира, буд. 3 кв. 98, Красилів, 05428",745-74-46,varvara41@example.net
Тимчук,Ольга,Володимирівна,Жіноча,05-04-1970,Епідеміолог,селище Моршин,"провулок Парашутний, буд. 7 кв. 1, Чорнобиль, 33129",078 046 12 06,lizaiashchenko@example.net
Кармалюк,Роман,Борисович,Чоловіча,11-10-1954,Антрополог,село Самар,"набережна Університетський, буд. 65, Богодухів, 30896",599 72 06,viacheslavierchenko@example.org
Засуха,Станіслав,Іванович,Чоловіча,07-06-1972,Вчитель,хутір Дунаївці,"площа Шампанський, буд. 24 кв. 901, Шостка, 15362",027 861 97 25,fchala@example.net
Захарченко,Богуслава,Володимирівна,Жіноча,11-10-1981,Конструктор,село Знам'янка,"узвіз Театральний, буд. 24 кв. 0, Хуст, 69515",060 293-55-03,panas46@example.org
Твердохліб,Леонтій,Дмитрович,Чоловіча,27-06-1942,Намотувальник,село Дніпро,"площа Василя Кандинського 3-й, буд. 5 кв. 61, Угнів, 10354",036 953-55-40,qhavrysh@example.com
Ярош,Орися,Василівна,Жіноча,12-12-1967,Співак,селище Помічна,"парк Перший Кришталевий, буд. 716, Покровськ, 98421",475 08 46,makarenkomykolai@example.net
Артимишин,Георгій,Степанович,Чоловіча,02-03-1975,Літературознавець,місто Жовква,"шосе Ризька, буд. 6 кв. 6, Христинівка, 21738",985 42 00,orysiakashchenko@example.net
